doc_id,author,title,year,thesis_type,director,director_source,original_director_field,specialisation,matched_secondary,match_score
HEIA_076067_411209,"Hammel, Roland",Politiques de développement pastoral au Sahel,2006.0,Master/Other,,,,,False,
HEIA_055780_411209,"Michel, Roger M.",Bilan de deux années à la Coopération technique suisse au Rwanda au projet agricole de Kibuye,1984.0,Master/Other,,,,,False,
HEIA_056893_411209,"Blachut, Rafal Longin",Multinational enterprises of the developing countries,1981.0,Master/Other,,,,,False,
HEIA_008865_411209,"Zheng, Hai Ying",Le rôle des PME en milieu rural dans l'essor commercial de la Chine,1995.0,Master/Other,,,,,False,
HEIA_006627_411209,"Cancellieri, Pierre-Georges M.",Théories traditionnelles de l'intégration et pays en développement,1994.0,Master/Other,,,,,False,
HEIA_103172_410206,"Casalet de Waksman, Monica",La integración subregional andina,1978.0,Master/Other,,,,,False,
HEIA_051710_410206,"Thiam, Moustapha",Décentralisation et système foncier au Sénégal,1997.0,Master/Other,,,,,False,
HEIA_077255_410206,"Varela Barraza, Hilda",Sao Tomé,1977.0,Master/Other,,,,,False,
HEIA_076249--0SUPPL_410206,"Parisot, Jean-Claude",Education et développement sociétal en Calédonie,2001.0,Master/Other,,,,,False,
HEIA_076249--000VDB_410206,"Parisot, Jean-Claude",Education et développement sociétal en Calédonie,2001.0,Master/Other,,,,,False,
HEIA_056886_410206,"Tshiala, Lay",La société dite traditionnelle et l'école,1992.0,Master/Other,,,,,False,
HEIA_077252_411209,"Cadima G, Edgar",Educación técnica y desarrollo en Bolivia,1987.0,Master/Other,,,,,False,
HEIA_058737_411209,"Vulliet, Benoît",La dimension informelle des études à l'IUED,2002.0,Master/Other,,,,,False,
HEIA_062947_411209,"Feinberg, Edy",Le processus d'assistance technique à travers une organisation internationale,1980.0,Master/Other,,,,,False,
HEIA_077355_411209,"Kusiaku, Yawo-Kuma",Les transports collectifs,1986.0,Master/Other,,,,,False,
HEIA_079377_411209,"Naidu Goy, Shobha",Mate selection through matrimonial advertisements,1994.0,Master/Other,,,,,False,
HEIA_079374_411209,"Preiswerk, Yvonne","La mort, le vin, le fromage et le pain",1980.0,Master/Other,,,,,False,
HEIA_079382_411209,"Zarama Vásquez, Germán E.","El rol del artesano frente a la significación y a la simbología del carnaval de negros y blancos en Pasto, Colombia",1990.0,Master/Other,,,,,False,
HEIA_010852_410301,"Nobre, Aissatou",Tradition orale et éducation,1993.0,Master/Other,,,,,False,
HEIA_007792_410301,"MacKinnon, Alejandro",Stratégies d'appropriation de l'environnement quotidien,1994.0,Master/Other,,,,,False,
HEIA_075906_410301,"Guibeb, Andreas B.D.",The anatomy of international diplomatic negotiation,1988.0,Master/Other,,,,,False,
HEIA_065517_411209,"Roger-Petitjean, Myriam",Maladies d'enfants dans la région de Sikasso (Mali),1992.0,Master/Other,,,,,False,
HEIA_060769_411209,"Burnier, Mary-Josée",Le secret de l'unité de santé,1991.0,Master/Other,,,,,False,
HEIA_007794_411209,"Kalambayi-Nsumbu, Léon",La perception des structures de santé et leur utilisation dans la zone de santé rurale de Ndekesha (Zaïre),1995.0,Master/Other,,,,,False,
HEIA_060739_411209,"Parrat, Thérèse",La santé communautaire et la participation populaire dans le système de santé du Nicaragua,1989.0,Master/Other,,,,,False,
HEIA_073380_411209,"Valdéz Carrizo, Edgar",Autopsie de la maladie,1992.0,Master/Other,,,,,False,
HEIA_075935_411209,"Brudon, Pascale",L'industrie pharmaceutique suisse dans les pays sous-développés,1981.0,Master/Other,,,,,False,
HEIA_041391_411209,"Agossou, Patrick",Comportement des consommateurs de médicaments modernes du marché illicite a Dassa-Zoume (Bénin),1997.0,Master/Other,,,,,False,
HEIA_006273_411209,"Delisle, Yves",Agriculture et élevage au Burkina Faso,1995.0,Master/Other,,,,,False,
HEIA_077354_411209,"Schilter, Christine",L'agriculture urbaine à Lomé (Togo),1988.0,Master/Other,,,,,False,
HEIA_076801_411209,"Valenzuela de Pisano, Ileana","Technologie appropriée, quelle alternative pour le développement ?",1989.0,Master/Other,,,,,False,
HEIA_006625_411209,"Partow, Hassan",Pesticide use and management in Kenya,1995.0,Master/Other,,,,,False,
HEIA_075937_411209,"Keita, Abdulai",La production des connaissances et solutions techniques chez les riziculteurs de mangrove ouest-africains,2002.0,Master/Other,,,,,False,
HEIA_074399_411209,"Rwabahungu, Marc",Autosuffisance alimentaire et innovation agricole,1993.0,Master/Other,,,,,False,
HEIA_056883_411209,"Kajyabwami, François Xavier",La participation des acteurs locaux à la gestion durable des ressources naturelles,2000.0,Master/Other,,,,,False,
HEIA_069459_411209,"Sounkarou Ndiaye, Ibra",Commerce et développement durable dans la gestion des ressources naturelles forestières au Sénégal,2004.0,Master/Other,,,,,False,
HEIA_070103_411209,"Kocher, Yves",Essai de modélisation de la complexité d'un itinéraire de développement,2004.0,Master/Other,,,,,False,
HEIA_077247_411209,"Odjo Cledjo, Edgar",Contribution de l'élevage des aulacodes (Thryonomys swinderianus) à la réduction de la pauvreté au sud du Bénin,2005.0,Master/Other,,,,,False,
HEIA_075938_410206,"Sall, Aliou",Coûts socio-économiques et écologiques de la motorisation de la pêche artisanale dans le village de Hann-Pêcheurs au Sénégal,1990.0,Master/Other,,,,,False,
HEIA_079272_410206,"Johnson, Ben Césaire",Logiques sociales et stratégies paysannes,1994.0,Master/Other,,,,,False,
HEIA_062689_410206,"Quezada de Ruibal, Maria-Alicia",Les biotechnologies comme outil stratégique,1990.0,Master/Other,,,,,False,
HEIA_077250_410206,"Filomeno Alves-Milho, Serafin",Développement de l'industrie du bois au Pérou,1989.0,Master/Other,,,,,False,
HEIA_053962_410206,"Gacuruzi-Kageme, Bernardin","Aménagement du territoire, développement rural et habitat dispersé en préfecture de Gitamara au Rwanda",1989.0,Master/Other,,,,,False,
HEIA_086694_410301,"González Osorio, Héctor Hernán",Habitat urbano e alternativas de desenvolvimento,1984.0,Master/Other,,,,,False,
HEIA_071625_410301,"Ebenau, Nicola",Development documentaries,1990.0,Master/Other,,,,,False,
HEIA_077251_410301,"Dia, Marius",Tutelle étatique et autonomie paysanne,1986.0,Master/Other,,,,,False,
HEIA_076071_410301,"Lopes, Carlos",A transição histórica na Guiné-Bissau,1982.0,Master/Other,,,,,False,
HEIA_022859_411209,"Paratian, Rajendra G.",Paysans ou prolétaires,1987.0,Master/Other,,,,,False,
HEIA_022783_411209,"González Davison, Fernando",La formación del Estado en Guatemala,1980.0,Master/Other,,,,,False,
HEIA_075597_411209,"Gasparini, Juan Alberto",Transformations de la pensée et de l'action des forces armées argentines,1985.0,Master/Other,,,,,False,
HEIA_013284_410206,"Thorndahl, Marie",Terrains de chasse et chasses gardées du développement,1997.0,Master/Other,,,,,False,
HEIBR_010035_411209,"Abegglen, Robert",La question agraire et la malnutrition au Honduras,1983.0,Master/Other,,,,,False,
HEIBR_010113_411209,"Suffrin, Dieulange",La maïs en Haïti,1992.0,Master/Other,,,,,False,
HEIBR_010204_411209,"Grob Savelieff da Veiga Alves, Denise","Rosa, Cristina et Cláudia",1995.0,Master/Other,,,,,False,
HEIBR_010250_411209,"Mupolo, K.S. Hermas",La vie quotidienne dans un site de réhabilitation pour les personnes déplacées vers leur région d'origine,2000.0,Master/Other,,,,,False,
HEIBR_010287_410301,"Wang, Xiuli",Le transfert de technologies étrangères et le développement téléphonique en Chine,1992.0,Master/Other,,,,,False,
HEIBR_010311_410301,"Rabiou, Hachirou",Introduction de la programation [sic] - suivi - évaluation dans l'administration publique,2003.0,Master/Other,,,,,False,
HEIBR_001167_410206,"Kamdem Bukam, Elisabeth",Problématique des institutions endogènes exogènes de participation populaire au développement en Afrique,1995.0,Master/Other,,,,,False,
HEIBR_005479_410206,"Freudiger, Patrick",Etude comparative de six expériences en matière d'appui au développement local en milieu rural au Burkina Faso,1998.0,Master/Other,,,,,False,
HEIBR_007748_410206,"Leng, Pi Min Sun",L'insertion de la Chine à l'économie mondiale,2002.0,Master/Other,,,,,False,
HEIBR_000823_410206,"Chouaf, Soâd","Femmes, loi et société en Algérie",1993.0,Master/Other,,,,,False,
HEIBR_008311_410206,"Lintz Machado Silva, Leonardo Graco","La typologie, les dispositifs légaux et les stratégies de survie des enfants dans le domaine du travail",1995.0,Master/Other,,,,,False,
HEIBR_008341_410206,"Villa Vicencio, Ingrid",Intégration sociale et médias,1997.0,Master/Other,,,,,False,
HEIBR_008342_410206,"Ma, Yao",Les mécanismes de la prise de décision du projet des Trois Gorges,2000.0,Master/Other,,,,,False,
HEIBR_008560_410206,"Onori, Andrea",Analyse comparative des politiques de communication de l'OMS,2003.0,Master/Other,,,,,False,
HEIBR_008880_410206,"Kayitesi, Christine",Du projet à l'appui institutionnel,1993.0,Master/Other,,,,,False,
HEIBR_009004_410206,"Gollut, Mauricette",Le pays de l'Oudalan,1983.0,Master/Other,,,,,False,
HEIBR_009025_411209,"Guebbaz-Enggist, Ouahiba",L'avenir des oasis du Sud algérien,2002.0,Master/Other,,,,,False,
HEIBR_009196_411209,"Gaudin, J.S.",Irrigated agriculture development in the North West frontier province of Pakistan using the participative approach,1999.0,Master/Other,,,,,False,
HEIBR_009545_411209,"Millet, Denise",Les potières Marka de Tchériba (Burkina Faso),1990.0,Master/Other,,,,,False,
HEIBR_009666_411209,"Hategekimana, Jean",Du bois pour dire la forêt et sa gestion durable,1997.0,Master/Other,,,,,False,
HEIBR_009799_411209,"Laizerovitz, Daniel",La fotonovela popular en la cultura de la resistencia,1987.0,Master/Other,,,,,False,
HEI_000358--000001_410206,"Raymond, Gerard G.",Sterilization policies,1990.0,Master/Other,,,,,False,
HEI_000358--000010_410206,"Unseld, Sigrid Dagmar",A formal framework for political analyses,1991.0,Master/Other,,,,,False,
HEI_000365--000002_410206,"Moser, Heather",The economic status of water in international free trade regimes in the context of Canadian bulk water export restrictions,2001.0,Master/Other,,,,,False,
HEI_000365--000003_410206,"Fréchelin, Louise",Le règlement des litiges dans le commerce électronique,2001.0,Master/Other,,,,,False,
HEI_000365--000004_410206,"Zerhdoud, Badr",La sécurité alimentaire et l'ordre juridique commercial,2001.0,Master/Other,,,,,False,
HEI_000365--000005_410206,"Larrazábal Gil, María Inés","Trade, globalization and core labor standards",2002.0,Master/Other,,,,,False,
HEI_000365--000006_410206,"Lara-Fernandez, Martha",Investor-state arbitration under NAFTA,2002.0,Master/Other,,,,,False,
HEI_000365--000007_410206,"Cardon de Lichtbuer-Gaspar, Florence",Obligations of national liberations movements under international humanitarian law and human rights law,2001.0,Master/Other,,,,,False,
HEI_000365--000008_410206,"Müller, Anna",Ukraine between West and East,2002.0,Master/Other,,,,,False,
HEI_000365--000009_410206,"Gega, Margarita",La coopération dans les Balkans depuis le 19e siècle,2002.0,Master/Other,,,,,False,
HEI_000365--000010_410206,"Hudecová, Jana",Legal issues arising from the UN administration mission in Kosovo,2002.0,Master/Other,,,,,False,
HEI_000365--000011_410206,"Dunin-Wasowicz, Stefan",Fragmentation and inudstry [sic] location under demand uncertainty,2002.0,Master/Other,,,,,False,
HEI_000358--000011_410206,"Filhol, Agnès",Accès aux ressources halieutiques et compétences du GATT,1991.0,Master/Other,,,,,False,
HEI_000365--000012_410206,"Cys, Mathias",The United Nations drug control treaties and the question of universal jurisdiction,2003.0,Master/Other,,,,,False,
HEI_000365--000013_410206,"Hishinuma, Takeshi",International protection of copyright relating to e-commerce,2003.0,Master/Other,,,,,False,
HEI_000365--000014_410206,"Genjida, Naoko",The climate change negotiation after the exit of the United States,2003.0,Master/Other,,,,,False,
