doc_id,year,author,title,jury_1,jury_2,jury_3,jury_4,jury_5
HEI_000546--000002_410206,1966,,Inflation et développement économique,Jérôme JOLI AT de Courtételle,Jacques LHuillier,M. Gilbert Etienne,Fritz Sonderegger,Jacques Freymond
HEI_000546--000003_410206,1967,,Le conflit sino-japonais de 1937 et la Société des Nations,Alessandro CASELLA,Alessandro CASEL LA,Hautes Etudes Internationales,Harish Kapur,Jean S ioti
HEI_000546--000004_410206,1967,,Les Américains et Sa Majesté l'Empereur,r- CM O CO,Claude KiONNIER - DE Neuchâtel,Claude MONN IER Ì,Jacques Freymond,Louis J. Halle
HEI_000546--000005_410206,1968,,Socialism and international economic order,ELISABETH TAMEDLY,Wilhelm RÖPKE,Gerard CURZON,M. Miklos MOLNAR,M. Norman SCOTT
HEI_000546--000006_410206,1967,,The International Union of Students,PAUL FRANCIS MAGNELIA,Jacques Freymond,Harish Kapur,M. Laszlo Nagy,Pierre Trouvât for the
HEI_000546--000007_411209,1967,,Histoire de l'Union des partis socialistes pour l'action internationale,LU isstii. Ä,André DONNEUR,Ontario HISTOIRE DE,Ontario La,Hautes Etudes Internationales
HEI_000546--000008_411209,1968,,The amendment of the constitutive instruments of the United Nations and specialized agencies,325 A. W. SIJTHOFF,RALPH ZACKLIN,A. W. SIJTHOFF,Michel VIRALE,Mme Denise BINDSCHEDLER
HEI_000547--000001_411209,1968,,Diplomatic protection and nationality,Jacques FREYMOND,Mme Denise BINDSCHEDLER,Paul GUGGENHEIM,Cuthbert Joseph,Michel VIRALLY
HEI_000547--000002_411209,1967,,De l'interprétation authentique des traités internationaux,pLîî,fei Sirir,Michel ViRALLY,Mlle Krystyna Marek,Philippe Cahier
HEI_000547--000003_411209,1968,,The United States and Africa in the United Nations,Louis J. HALLE,Jean SIOTIS,M. Alan B. OVERSTREET,His unceasing,Jacques Freymond
HEI_000547--000004_411209,1970,,The history of the South Tyrol question,Antony Evelyn ALCOCK,Jacques Freymond,MM. Miklos Molnar,jean SiOTis,There
